project_id,degree,type,b_m_student,start_date,year,thesis_title
2021-bsc-thesis-154321,bsc,thesis,yes,2021-02-01,2021,Self-cleaning Preliminary Screening Mechanisms to Improve Health and Wastewater Treatment Efficiency in Low-income Countries
2022-msc-sem-proj-222425,msc,sem-proj,yes,2022-04-04,2022,The state of open research data publishing practices and policies in the fields of global health engineering
2022-bsc-thesis-525162,bsc,thesis,yes,2022-03-11,2022,"Feasibility of waste maize husk valorization as a plastic plate replacement in Durban, South Africa"
2022-bsc-thesis-322163,bsc,thesis,yes,2022-03-01,2022,Low-cost compost screening technology to improve trash separation
2022-bsc-thesis-525566,bsc,thesis,yes,2022-03-25,2022,"The development of a recycled plastic wheel for cardboard collector trollies - improving the working conditions of informal cardboard recyclers in Durban, South Africa"
2022-msc-thesis-144643,msc,thesis,yes,2022-05-01,2022,Effect of fruit and vegetable waste in anaerobic digestion using faecal sludge as primary feedstock
2022-msc-sem-proj-224115,msc,sem-proj,yes,2022-02-07,2022,Energy production of Black Soldier Fly larvae: measuring the temperature increase in air induced by Black Soldier Flies throughout their larval stages
2022-msc-thesis-432451,msc,thesis,yes,2022-04-01,2022,"Suitability of the modified Bardenpho process for faecal sludge treatment in Kumasi, Ghana"
2022-phd-thesis-165636,phd,thesis,no,2022-02-21,2022,How biogas failed to light up a continent: why the most promising technology never spread across Africa
2022-msc-sem-proj-644261,msc,sem-proj,yes,2022-06-13,2022,Investigating the optimization potential of brick clamps in Malawi - thermal efficiency analysis and perspectives of brickmakers
2022-msc-sem-proj-521625,msc,sem-proj,yes,2022-09-16,2022,"Optimization of solid waste collections in Blantyre, Malawi"
2021-msc-thesis-225161,msc,thesis,yes,2021-09-19,2021,Barriers to successful data management in the Global South: Case Study of Malawi
2022-msc-sem-proj-415432,msc,sem-proj,yes,NA,NA,Designing a small-scale screw press for blackwater dewatering
2022-msc-sem-proj-531316,msc,sem-proj,yes,2022-05-01,2022,Design and validation of a thermal disinfection unit for wastewater using biogas in humanitarian crisis situations
2022-msc-sem-proj-235213,msc,sem-proj,yes,2022-08-01,2022,"Examination of non-recycled marine plastic litter in order to identify recycling and beneficiation pathways in Durban, South Africa"
2022-msc-sem-proj-632161,msc,sem-proj,yes,2022-10-01,2022,Bin it - design of an AHP waste collection model for informal settlements in South Africa
2022-phd-thesis-413534,phd,thesis,no,2022-02-21,2022,Evaluating a case of closed-loop plastic recycling in Malawi
2022-phd-thesis-323134,phd,thesis,no,2022-01-25,2022,Extent and markers of open waste burning
2022-msc-thesis-335155,msc,thesis,yes,2022-06-01,2022,Statistical Modeling of SDG 6 Global Estimates
2022-msc-sem-proj-233552,msc,sem-proj,yes,2022-10-01,2022,"“I have just accepted it”: Hierarchies of Power and Healthcare Waste Management Practices in Blantyre, Malawi"
2022-msc-thesis-531634,msc,thesis,yes,2022-09-16,2022,Thermal analysis and optimization potential of clamp kilns for fired clay brick production
2022-msc-thesis-563116,msc,thesis,yes,2022-08-01,2022,"Evaluating the potential Extended Producer Responsibility returns for plastic-packaging riverine waste in Durban, South Africa"
2022-bsc-thesis-336642,bsc,thesis,yes,2022-09-01,2022,"Improving market wash stations through creative and contextual design in Durban, South Africa"
2022-msc-thesis-362422,msc,thesis,yes,2022-10-01,2022,"Factors affecting the extent and impact of waste burning in Blantyre, Malawi"
2022-msc-sem-proj-116231,msc,sem-proj,yes,2022-09-16,2022,Design and validation of a thermal disinfection unit for wastewater using biogas for humanitarian crisis situations
2022-msc-sem-proj-322235,msc,sem-proj,yes,2022-11-16,2022,Tertiary education research: data collection on top universities of african countries
2023-staff-intern-515255,staff,intern,no,2023-01-01,2023,A sustainable alternative to traditional building materials: assessing stabilised soil blocks for performance and cost in Malawi
2023-msc-sem-proj-134361,msc,sem-proj,yes,2023-03-01,2023,"Urine Collection Trolley for Informal Markets in Durban, South Africa"
2023-msc-thesis-254435,msc,thesis,yes,2023-03-01,2023,Detection of Contamination in Biowaste
2023-bsc-thesis-162131,bsc,thesis,yes,2023-02-20,2023,Evaluation of the waste management system at the Züri Fäscht
2023-msc-thesis-122665,msc,thesis,yes,2023-03-16,2023,Tipping aid for loading small trucks on waste collection tours
2023-msc-thesis-445136,msc,thesis,yes,2023-03-01,2023,"Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi"
2023-msc-thesis-453552,msc,thesis,yes,2023-01-04,2023,Remote Monitoring System for the WaterWall
2023-msc-thesis-225343,msc,thesis,yes,2023-04-22,2023,Optimization of Calcium Hydroxide and Calcium Phosphate flows in the Autarky Nutrient Harvester
2023-msc-thesis-554324,msc,thesis,yes,2023-05-09,2023,withdrawn
2023-staff-intern-164543,staff,intern,no,2023-05-15,2023,NA
2023-staff-scientific-assistant-161565,staff,scientific-assistant,no,2023-05-01,2023,NA
2023-bsc-thesis-512155,bsc,thesis,yes,2023-09-18,2023,Experimental Optimization of a Peristaltic Pump Design for Pit-Emptying
2023-msc-thesis-266112,msc,thesis,yes,2023-09-18,2023,"Construction of a Glass Crusher and Evaluation of Waste Valorization Pathways for Cape Maclear, Malawi"
2023-bsc-thesis-544646,bsc,thesis,yes,2023-09-18,2023,Designing a manual press for blackwater dewatering
